PERIODO|ID_CLIENTE|CANT_CONSULTAS_PREV
2018-12-01|Q0Sqxt9/+fI5C96Oj0qJZ92xheja1/7MUmzwG9BEJvU=|1
2018-11-01|yaomlj6mDsksD3XNE1++B9kjjPmR5IbU/YeZB6/xIt8=|1
2018-11-01|4IMVMkE/j892RjRR74zo+H1/vzj+TzyvDsvDqnMoSd8=|1
2018-10-01|7tzg/k08GC863JggrB3E2X2aJUqV0KbaRIDqZnDezUs=|1
2018-10-01|Wg7CVsL20twXVpeGqtjkCXsJYJC+fIIJyPvdmphPQeE=|1
2018-11-01|pwGVmdWKYHcxnNmxdm93zRtqMVWb2FFcoklwXZZh3RM=|4
2018-12-01|F2cksN6u+0Msg92VskgYismV18UFj7ckLxIGOcwYZJA=|1
2018-10-01|qu1500zyhfJl+1wr6en67my1yo+21bnSZHI0rJv4CkA=|1
2018-12-01|m4NJ5tN/v2625sgPn+rdg/vaWI+EMR9IwiziDOqeE18=|2
2018-11-01|m4NJ5tN/v2625sgPn+rdg/vaWI+EMR9IwiziDOqeE18=|1
2018-10-01|WeaHFyP3a0CwEnGenkzKp/ZnkC6kVtipBrR9EkUT8aE=|1
2018-10-01|0x3jNUjN4RuhRnGgs5RRW9SIHpwtqll7Ywki/zgI7ZU=|1
2018-10-01|9qsDzwopl78vAB581RchQHfRHocO5wAWoJ6b62KpYfI=|1
2018-12-01|OIkUdhhi8VdLr6xxFTogxgR7vKNb58C/TRZDDaNIngo=|1
2018-10-01|nZglOdnbn/h4Cuqhzo3I2Hq0rHXK63oRM9hFRGlRq/U=|3
2018-12-01|nZglOdnbn/h4Cuqhzo3I2Hq0rHXK63oRM9hFRGlRq/U=|1
2018-10-01|6FYu3ygmSCkxc+BOGiLbeUFA/LH33QGWz8OCLBDNWX0=|1
2018-11-01|6FYu3ygmSCkxc+BOGiLbeUFA/LH33QGWz8OCLBDNWX0=|1
2018-10-01|VQr0VsTI24D/+F390vqPP9/UyeWlFv6hmGkpBWiOCtM=|1
2018-10-01|Zmg4TcSUsMsd66DzoEvQNR/HXnbfqRx6Qfi+wZaVN5g=|1
2018-12-01|+VVYPxNjJF2VzvI4WfyrHJZPEqJVfu791nkdyBjDrV0=|1
2018-12-01|k7sNAeq5YtxQnHu3ZHGT/pgznnSMFrBz0JJc10mCzmw=|1
2018-12-01|Y2KqhFS2nVhF/ph4RJMA/nJBtNfhGvXw36n0wJRm01o=|1
2018-12-01|MGyglJfchwMSkcjMjJPw28RBFDxC9ZBpK80o8YvBPfM=|1
2018-11-01|MGyglJfchwMSkcjMjJPw28RBFDxC9ZBpK80o8YvBPfM=|1
2018-12-01|mkQTQTBxpBz0Ot18IXRhlMBXPEGsbmroMdDC36ZQPSo=|1
2018-11-01|s+ww8Wt+LJ5FIbRUFBk9CaOEkJtLaDo1lrfuvAJ7W+Y=|1
2018-10-01|UtLmcgOGx9bS3SDfvM2MiBWE+Z0v9v3832mZKnj089c=|1
2018-10-01|PC4fSjQv57Kgot2lF9QeHmI77380Nvi6BjGgsNT3gUQ=|1
2018-11-01|qOgsaOZLmsZjNT9OJg9kPBzJVlKjj3YtCY9hl0l5kKM=|1
2018-12-01|gpIvALCLdtvsFAYspqou7wrt1x4GFvCxAZe/tqNxaQU=|2
2018-12-01|oINQX1tnbEFiT6OQauQ8q5BIPr+vCffKDcauzTTZMjY=|1
2018-12-01|hLyuAbk+OicdrG2hvaizUFbOVWoa2lk+Nbg5KvB9W8c=|1
2018-12-01|WBw6aEHVr0dTR9PYenaxPSAxhcmojA86wycqWXg7zWg=|1
2018-11-01|aSHU3VqBeiEn1zjOXKjWyhvSJ9C9siTfBumVH48Zwi0=|1
2018-12-01|o/X6qzi5XrL4iLSjpwMeHhKs1cYhSHRwug3VYf7N49g=|1
2018-12-01|B4qLE6V0RbwhMkvDxexCyr5hg3Y8fk8/R24hZNzEXWI=|1
2018-12-01|jJCWS4TiFG+AbKCyJVc5+gBU4TyPBbzE+dJJGdhkjB8=|1
2018-12-01|+5eRMCgywjkpb1XPZfiGVDyRz6kzqs4BH6m+3XPr2No=|1
2018-11-01|cZvouoKsrU5Gn66O1niDp6VtSorT6c8mjN5UaZA8CnI=|1
2018-10-01|JQ8gUPQMD36efuQbD6fnPbUCBiieLxbO9LheDiNBgQw=|1
